,Unnamed: 0,Brand,Model,Variant,Manufacturing year,Driven kilometers,Fuel,Location,Body type,Owners_number,Price,Ref. Website
0,0,Honda,Brio,S MT,2015,"29,411 kms",Petrol,Delhi NCR,Hatchback,1st Owner,343000.0,www.cardekho.com
1,1,Maruti,Alto,VXI,2017,"23,845 kms",Petrol,Delhi NCR,Hatchback,1st Owner,284000.0,www.cardekho.com
2,2,Maruti,Baleno,Delta,2015,"49,192 kms",Petrol,Delhi NCR,Hatchback,1st Owner,466000.0,www.cardekho.com
3,3,Maruti,Swift,VXI,2018,"19,492 kms",Petrol,Delhi NCR,Hatchback,1st Owner,569000.0,www.cardekho.com
4,4,Maruti,Alto,VXI AMT,2015,"39,833 kms",Petrol,Delhi NCR,Hatchback,1st Owner,308000.0,www.cardekho.com
5,5,Maruti,Swift,LXI Option,2015,"54,215 kms",Petrol,Delhi NCR,Hatchback,1st Owner,389000.0,www.cardekho.com
6,6,Maruti,Baleno,Sigma Diesel,2018,"61,659 kms",Diesel,Delhi NCR,Hatchback,1st Owner,557000.0,www.cardekho.com
7,7,Maruti,Swift,VDI BSIV,2017,"56,693 kms",Diesel,Delhi NCR,Hatchback,1st Owner,504000.0,www.cardekho.com
8,8,Maruti,Alto,VXI,2018,"24,604 kms",Petrol,Delhi NCR,Hatchback,1st Owner,339000.0,www.cardekho.com
9,9,Maruti,Alto,LXI,2013,"40,167 kms",Petrol,Delhi NCR,Hatchback,1st Owner,192000.0,www.cardekho.com
10,10,Maruti,Swift,LXI BSIV,2015,"1,00,380 kms",Petrol,Delhi NCR,Hatchback,1st Owner,358000.0,www.cardekho.com
11,11,Hyundai,Grand,Sportz,2015,"1,02,032 kms",Petrol,Delhi NCR,Hatchback,1st Owner,357000.0,www.cardekho.com
12,12,Maruti,Alto,2010-2014 VXI,2012,"62,877 kms",Petrol,Delhi NCR,Hatchback,1st Owner,245000.00000000003,www.cardekho.com
13,13,Hyundai,Grand,Asta,2014,"64,883 kms",Petrol,Delhi NCR,Hatchback,1st Owner,366000.0,www.cardekho.com
14,14,Maruti,Swift,LDI,2014,"89,382 kms",Diesel,Delhi NCR,Hatchback,1st Owner,315000.0,www.cardekho.com
15,15,BMW,X1,sDrive 20d xLine,2018,"21,200 kms",Diesel,Delhi NCR,Hatchback,1st Owner,2850000.0,www.cardekho.com
16,16,BMW,X5,xDrive 30d,2015,"82,000 kms",Diesel,Delhi NCR,Hatchback,1st Owner,2990000.0,www.cardekho.com
17,17,Mercedes-Benz,New,Progressive C 200,2019,"7,900 kms",Petrol,Delhi NCR,Hatchback,1st Owner,4200000.0,www.cardekho.com
18,18,Jaguar,XJ,2.0L Portfolio,2016,"13,000 kms",Petrol,Delhi NCR,Hatchback,1st Owner,5750000.0,www.cardekho.com
19,19,Maruti,Celerio,Green VXI,2017,"83,775 kms",CNG,Delhi NCR,Hatchback,1st Owner,365000.0,www.cardekho.com
20,20,Maruti,Alto,STD,2019,"5,673 kms",Petrol,Delhi NCR,Hatchback,1st Owner,266000.0,www.cardekho.com
21,21,Hyundai,Grand,1.2 Kappa Sportz BSIV,2019,"12,598 kms",Petrol,Delhi NCR,Hatchback,1st Owner,525000.0,www.cardekho.com
22,22,Maruti,Baleno,1.2 Sigma,2020,"7,173 kms",Petrol,Delhi NCR,Hatchback,1st Owner,579000.0,www.cardekho.com
23,23,Maruti,Swift,LXI Optional-O,2017,"5,824 kms",Petrol,Delhi NCR,Hatchback,1st Owner,478000.0,www.cardekho.com
24,24,Maruti,Baleno,Zeta,2018,"24,586 kms",Petrol,Delhi NCR,Hatchback,1st Owner,593000.0,www.cardekho.com
25,25,Renault,KWID,1.0 RXT Optional,2017,"19,145 kms",Petrol,Delhi NCR,Hatchback,1st Owner,282000.0,www.cardekho.com
26,26,Maruti,Alto,VXI,2018,"44,973 kms",Petrol,Delhi NCR,Hatchback,1st Owner,332000.0,www.cardekho.com
27,27,Maruti,Baleno,1.2 CVT Delta,2016,"44,802 kms",Petrol,Delhi NCR,Hatchback,1st Owner,543000.0,www.cardekho.com
28,28,Maruti,Baleno,1.2 Sigma,2020,"13,803 kms",Petrol,Delhi NCR,Hatchback,1st Owner,578000.0,www.cardekho.com
29,29,Maruti,Baleno,1.2 Delta,2016,"57,059 kms",Petrol,Delhi NCR,Hatchback,1st Owner,504000.0,www.cardekho.com
30,30,Hyundai,Grand,Sportz,2016,"39,842 kms",Petrol,Delhi NCR,Hatchback,1st Owner,400000.0,www.cardekho.com
